 1174.0972    3.0000    1.9999    1.9999    1.3160    0.7726    3.7060    0.2136  9.1479E-01     -0.2014  9.0896E+01
 1174.3539    3.0000    1.9999    1.9999    1.3213    0.7756    3.7058    0.2149  9.2509E-01     -0.2014  8.9493E+01
 1174.6080    3.0000    1.9999    1.9999    1.3265    0.7787    3.7055    0.2160  9.3545E-01     -0.2014  8.8111E+01
 1174.8596    3.0000    1.9999    1.9999    1.3317    0.7818    3.7053    0.2172  9.4586E-01     -0.2014  8.6753E+01
 1175.1088    3.0000    1.9999    1.9999    1.3370    0.7849    3.7051    0.2184  9.5633E-01     -0.2014  8.5416E+01
 1175.3553    3.0000    1.9999    1.9999    1.3422    0.7880    3.7048    0.2195  9.6685E-01     -0.2014  8.4100E+01
 1175.5994    3.0000    1.9999    1.9999    1.3475    0.7910    3.7046    0.2207  9.7741E-01     -0.2014  8.2806E+01
 1175.8411    3.0000    1.9999    1.9999    1.3527    0.7941    3.7044    0.2218  9.8802E-01     -0.2014  8.1533E+01
 1176.0803    3.0000    1.9999    1.9998    1.3579    0.7972    3.7041    0.2229  9.9869E-01     -0.2014  8.0280E+01
 1176.3173    3.0000    1.9999    1.9998    1.3632    0.8003    3.7039    0.2240  1.0094E+00     -0.2014  7.9048E+01
 1176.5518    3.0000    1.9999    1.9998    1.3684    0.8034    3.7037    0.2251  1.0201E+00     -0.2014  7.7835E+01
 1176.7839    3.0000    1.9999    1.9998    1.3737    0.8065    3.7034    0.2262  1.0309E+00     -0.2014  7.6642E+01
 1177.0137    3.0000    1.9999    1.9998    1.3789    0.8096    3.7032    0.2273  1.0418E+00     -0.2014  7.5467E+01
 1177.2412    3.0000    1.9999    1.9998    1.3841    0.8127    3.7029    0.2284  1.0527E+00     -0.2014  7.4312E+01
 1177.4666    3.0000    1.9999    1.9998    1.3894    0.8158    3.7027    0.2294  1.0636E+00     -0.2014  7.3175E+01
 1177.6896    3.0000    1.9999    1.9998    1.3946    0.8189    3.7025    0.2305  1.0745E+00     -0.2014  7.2056E+01
 1177.9103    3.0000    1.9999    1.9998    1.3998    0.8220    3.7022    0.2315  1.0855E+00     -0.2014  7.0955E+01
 1178.1289    3.0000    1.9999    1.9998    1.4051    0.8251    3.7020    0.2325  1.0966E+00     -0.2014  6.9872E+01
 1178.3452    3.0000    1.9999    1.9998    1.4103    0.8282    3.7017    0.2336  1.1076E+00     -0.2014  6.8806E+01
 1178.5594    3.0000    1.9999    1.9998    1.4156    0.8314    3.7015    0.2346  1.1187E+00     -0.2014  6.7756E+01
 1178.7716    3.0000    1.9999    1.9998    1.4208    0.8345    3.7012    0.2355  1.1298E+00     -0.2014  6.6724E+01
 1178.9816    3.0000    1.9999    1.9998    1.4260    0.8376    3.7010    0.2365  1.1410E+00     -0.2014  6.5708E+01
 1179.1893    3.0000    1.9999    1.9998    1.4313    0.8407    3.7007    0.2375  1.1521E+00     -0.2014  6.4708E+01
